name,cpg,brandCode,category,topBrand,categoryCode,_id,barcode,cpg_ref,cpg_id
MOMOFUKU Sauce,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",MOMOFUKU,Condiments & Sauces,False,,5aa1b41de4b086c8aad5e096,511111304265,Cogs,559c2234e4b06aca36af13c6
POPSICLE,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5f6e4b03c9a25efd0b4'}}",POPSICLE,Frozen,False,,592486bee410d61fcea3d136,511111500735,Cogs,5332f5f6e4b03c9a25efd0b4
Mug Root Beer,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",MUG Root Beer,Beverages,False,,5332f603e4b03c9a25efd0be,511111103936,Cpgs,5332f5fbe4b03c9a25efd0ba
Tom's,"{'$ref': 'Cogs', '$id': {'$oid': '5a734034e4b0d58f376be874'}}",TOMS,Snacks,False,,5afda699e4b0c11cfecd49fd,511111704584,Cogs,5a734034e4b0d58f376be874
test brand @1606765579244,"{'$ref': 'Cogs', '$id': {'$oid': '5fc54c0abe37ce1911dbb3b1'}}",TEST BRANDCODE @1606765579244,Baking,False,BAKING,5fc54c0bbe37ce1911dbb3b5,511111017899,Cogs,5fc54c0abe37ce1911dbb3b1
test brand @1597342520305,"{'$ref': 'Cogs', '$id': {'$oid': '5f358338be37ce443bf9d557'}}",TEST BRANDCODE @1597342520305,Baking,,BAKING,5f358338be37ce443bf9d55b,511111715320,Cogs,5f358338be37ce443bf9d557
PROMISE,"{'$ref': 'Cogs', '$id': {'$oid': '53e10d6368abd3c7065097cc'}}",PROMISE,Dairy,,,592486bfe410d61fcea3d137,511111000723,Cogs,53e10d6368abd3c7065097cc
OFF THE EATEN PATH,"{'$ref': 'Cogs', '$id': {'$oid': '5332f5fbe4b03c9a25efd0ba'}}",OFF THE EATEN PATH,Snacks,,,5a4d2295e4b0d5c3fd86b679,511111200529,Cogs,5332f5fbe4b03c9a25efd0ba
test brand @1600291350125,"{'$ref': 'Cogs', '$id': {'$oid': '5332fa12e4b03c9a25efd1e7'}}",TEST BRANDCODE @1600291350125,Candy & Sweets,,CANDY_AND_SWEETS,5f628216be37ce78e6e2efaf,511111116684,Cogs,5332fa12e4b03c9a25efd1e7
Honey Smacks,"{'$ref': 'Cpgs', '$id': {'$oid': '5332f5f2e4b03c9a25efd0aa'}}",,,,,5332f9fce4b03c9a25efd1cd,511111003199,Cpgs,5332f5f2e4b03c9a25efd0aa
test brand @1603760319758,"{'$ref': 'Cogs', '$id': {'$oid': '5f9770bfbe37ce03d08a2d83'}}",TEST BRANDCODE @1603760319758,Baking,,BAKING,5f9770bfbe37ce03d08a2d85,511111117070,Cogs,5f9770bfbe37ce03d08a2d83
Nancy's,"{'$ref': 'Cogs', '$id': {'$oid': '559c2234e4b06aca36af13c6'}}",NANCY'S,Frozen,False,,57ebc293e4b0ac389136a345,511111301974,Cogs,559c2234e4b06aca36af13c6
test brand @1599159966676,"{'$ref': 'Cogs', '$id': {'$oid': '5f513e9ebe37ce21f1287bff'}}",,Baking,,BAKING,5f513e9ebe37ce21f1287c00,511111816492,Cogs,5f513e9ebe37ce21f1287bff
Stella Artois,"{'$ref': 'Cogs', '$id': {'$oid': '5332f7a7e4b03c9a25efd134'}}",,,,,5332f7b8e4b03c9a25efd145,511111903413,Cogs,5332f7a7e4b03c9a25efd134
